,TEAM,RACES,1ST,2ND,3RD,PODIUMS,POLES,FASTEST,POINTS
1,Ferrari,992,238,281,262,581,227,255,9150.27
2,McLaren,866,182,158,146,392,155,154,5670.5
3,Mercedes,210,102,72,37,137,111,75,5251.14
4,Red Bull,287,62,48,60,132,62,65,4724.5
5,Williams,736,114,112,86,243,128,133,3567
6,Renault,386,35,34,31,88,51,31,1596
7,Team Lotus,494,79,42,51,157,107,71,1514
8,Force India,203,0,1,5,6,1,5,1047
9,Brabham,402,35,41,48,106,39,40,983
10,Benetton,260,27,32,43,94,15,36,861.5
11,Tyrrell,433,23,33,21,66,14,20,711
12,Lotus F1,77,2,11,12,20,0,5,700
13,BRM,208,17,27,17,53,11,15,537.5
14,Sauber,376,0,2,8,10,0,3,513
15,Toro Rosso,268,1,1,1,3,1,1,501
16,Cooper-Climax,102,14,15,21,35,10,12,388.5
17,Ligier,330,9,14,27,45,9,9,388
18,BMW Sauber,89,1,10,6,16,1,2,352
19,Maserati,73,9,10,21,28,10,17,313.42
20,Jordan,250,4,4,11,17,2,2,291
21,Toyota,140,0,5,8,13,2,3,278.5
22,Alfa Romeo,133,11,8,9,18,12,14,271
23,BAR,118,0,4,11,15,2,0,227
24,Haas,83,0,0,0,0,0,2,197
25,March,207,3,10,8,20,5,7,185
26,Matra,62,9,4,8,17,4,12,184
27,Brawn,17,8,4,3,11,5,4,172
28,Honda,88,3,1,5,9,2,2,156
29,Arrows,296,0,5,3,8,1,0,142
30,Kurtis Kraft,12,5,6,8,8,6,7,130
31,Racing Point,31,0,0,0,0,0,0,125
32,Vanwall,29,10,2,2,11,7,6,108
33,Cooper-Maserati,23,2,3,2,5,1,2,83
34,Wolf,48,3,4,6,13,1,2,79
35,Shadow,112,1,0,6,7,2,2,68.5
36,Surtees,119,0,1,1,2,0,3,54
37,Porsche,34,1,3,1,5,1,0,50
38,Jaguar,85,0,0,2,2,0,0,49
39,Hesketh,60,1,3,3,7,0,1,48
40,Stewart,49,1,1,3,4,1,0,47
41,Epperly,5,2,2,1,3,0,2,44
42,Fittipaldi,119,0,1,2,3,0,0,41
43,Minardi,345,0,0,0,0,0,0,38
44,Watson,9,3,2,0,3,2,1,36
45,Prost,83,0,2,1,3,0,0,35
46,Lola,88,0,2,0,2,1,0,27
47,Toleman,70,0,1,2,3,1,2,26
48,Gordini,33,0,0,2,2,0,1,25.14
49,Talbot-Lago,13,0,0,2,2,0,0,25
50,Footwork,97,0,0,1,1,0,0,25
51,Penske,41,1,0,2,3,0,0,23
52,Larrousse,114,0,0,1,1,0,0,22
53,Kuzma,10,1,1,1,3,0,0,21
54,Cooper-BRM,11,0,0,2,2,0,0,20
55,Ensign,133,0,0,0,0,0,1,19
56,Connaught,18,0,0,1,1,0,0,17
57,Eagle,25,1,0,1,2,0,2,17
58,Dallara,80,0,0,2,2,0,0,15
59,BRP,13,0,0,0,0,0,0,11
60,Deidt,3,0,1,1,1,0,0,10
61,Lesovsky,9,0,0,1,1,1,1,10
62,FISA,1,1,0,0,1,0,0,9
63,Lancia,4,0,1,0,1,2,1,9
64,Leyton House,32,0,1,0,1,0,0,8
65,Phillips,7,0,0,1,1,0,0,7
66,ATS,116,0,0,0,0,0,0,7
67,Parnelli,16,0,0,0,0,0,1,6
68,Onyx,25,0,0,1,1,0,0,6
69,Rial,30,0,0,0,0,0,0,6
70,Iso Marlboro,30,0,0,0,0,0,0,6
71,Simca,15,0,0,0,0,0,0,5
72,Osella,171,0,0,0,0,0,0,5
73,Super Aguri,39,0,0,0,0,0,0,4
74,Cooper-Castellotti,1,0,0,0,0,0,0,3
75,Copersucar-Fittipaldi,1,0,0,0,0,0,0,3
76,Sherman,2,0,0,0,0,0,0,3
77,Frazer-Nash,4,0,0,0,0,0,0,3
78,Hill,11,0,0,0,0,0,0,3
79,Manor,95,0,0,0,0,0,0,3
80,Schroeder,4,0,0,0,0,0,0,2
81,HWM,16,0,0,0,0,0,0,2
82,Theodore,51,0,0,0,0,0,0,2
83,Zakspeed,73,0,0,0,0,0,0,2
84,AGS,76,0,0,0,0,0,0,2
85,Trevis,4,0,0,0,0,0,0,1
86,Tecno,11,0,0,0,0,0,0,1
87,Spyker,21,0,0,0,0,0,0,1
88,Klenk,1,0,0,0,0,0,0,0
89,Stebro,1,0,0,0,0,0,0,0
90,Meskowski,1,0,0,0,0,0,0,0
91,Connew,1,0,0,0,0,0,0,0
92,Ferguson,1,0,0,0,0,0,0,0
93,Adams,1,0,0,0,0,0,0,0
94,MBM,1,0,0,0,0,0,0,0
95,Olson,1,0,0,0,0,0,0,0
96,Tec-Mec,1,0,0,0,0,0,0,0
97,RE,1,0,0,0,0,0,0,0
98,Derrington-Francis,1,0,0,0,0,0,0,0
99,Hall,1,0,0,0,0,0,0,0
100,Sutton,1,0,0,0,0,0,0,0
101,Shannon,1,0,0,0,0,0,0,0
102,EMW,1,0,0,0,0,0,0,0
103,Elder,1,0,0,0,0,0,0,0
104,Snowberger,1,0,0,0,0,0,0,0
105,Turner,1,0,0,0,0,0,0,0
106,Protos,1,0,0,0,0,0,0,0
107,Politoys,1,0,0,0,0,0,0,0
108,Langley,1,0,0,0,0,0,0,0
109,ENB,1,0,0,0,0,0,0,0
110,Rae,1,0,0,0,0,0,0,0
111,Wetteroth,1,0,0,0,0,0,0,0
112,Del Roy,1,0,0,0,0,0,0,0
113,Bugatti,1,0,0,0,0,0,0,0
114,Lyncar,2,0,0,0,0,0,0,0
115,Pankratz,2,0,0,0,0,0,0,0
116,Ewing,2,0,0,0,0,1,0,0
117,Kojima,2,0,0,0,0,0,1,0
118,Behra-Porsche,2,0,0,0,0,0,0,0
119,Nichels,2,0,0,0,0,0,0,0
120,Christensen,2,0,0,0,0,0,0,0
121,Scuderia Sant Ambroeus,2,0,0,0,0,0,1,0
122,Marchese,2,0,0,0,0,0,0,0
123,Rebaque,3,0,0,0,0,0,0,0
124,Moore,3,0,0,0,0,0,0,0
125,BMW,3,0,0,0,0,0,0,0
126,Pawl,3,0,0,0,0,0,0,0
127,Dunn,3,0,0,0,0,0,0,0
128,Token,4,0,0,0,0,0,0,0
129,Amon,4,0,0,0,0,0,0,0
130,AFM,4,0,0,0,0,0,0,0
131,Aston Butterworth,4,0,0,0,0,0,0,0
132,Bromme,4,0,0,0,0,0,0,0
133,Scarab,5,0,0,0,0,0,0,0
