,ENGINE,RACES,1ST,2ND,3RD,PODIUMS,POLES,FASTEST,POINTS
1,Mercedes,482,188,164,127,329,194,170,10817.14
2,Ferrari,993,240,283,265,585,228,262,10086.27
3,Renault,643,177,162,157,351,216,184,8576.5
4,Ford,525,176,165,191,288,137,160,4624
5,Honda,443,75,59,51,132,79,64,2257.5
6,Climax,98,40,27,38,63,44,45,866.5
7,BMW,203,19,26,24,60,32,31,713
8,BRM,200,18,28,19,55,11,14,607.5
9,TAG,68,25,15,14,44,7,18,405.5
10,Maserati,109,11,13,23,33,11,19,396.42
11,Toyota,140,0,6,11,17,2,4,384
12,Alfa Romeo,223,13,14,15,30,15,20,330
13,BMW Sauber,70,1,10,6,16,1,2,308
14,Offenhauser,12,11,12,13,11,9,10,260
15,Cosworth,201,0,1,2,3,2,1,189
16,Mugen-Honda,147,4,4,8,15,1,0,182
17,Repco,33,8,9,8,17,7,4,175
18,Matra,126,3,6,15,24,4,5,175
19,Petronas,153,0,0,4,4,0,0,142
20,Peugeot,115,0,5,9,13,0,1,128
21,Vanwall,29,10,2,2,11,7,6,108
22,Judd,76,0,4,4,8,0,3,86
23,Playlife,49,0,4,2,6,1,1,69
24,Hart,158,0,1,4,5,2,2,63
25,Porsche,41,1,3,1,5,1,0,50
26,Supertec,33,0,1,2,3,0,1,42
27,Mecachrome,16,0,0,3,3,0,0,38
28,Yamaha,129,0,1,1,2,0,0,36
29,Megatron,32,0,0,1,1,0,0,35
30,Gordini,40,0,0,2,2,0,1,30.14
31,Talbot,13,0,0,2,2,0,0,25
32,Lamborghini,80,0,0,1,1,0,0,20
33,Bristol,17,0,0,1,1,0,0,15
34,Alta,28,0,0,1,1,0,0,14
35,Weslake,17,1,0,1,2,0,2,13
36,Sauber,16,0,0,0,0,0,0,12
37,Ilmor,49,0,0,0,0,0,0,12
38,Lancia,4,0,1,0,1,2,1,9
39,Arrows,32,0,0,0,0,0,0,7
40,Lea-Francis,10,0,0,0,0,0,0,5
41,Novi,6,0,0,0,0,1,1,4
42,Acer,17,0,0,0,0,0,0,4
43,Castellotti,5,0,0,0,0,0,0,3
44,Asiatech,34,0,0,0,0,0,0,3
45,Zakspeed,58,0,0,0,0,0,0,2
46,Serenissima,2,0,0,0,0,0,0,1
47,Tecno,10,0,0,0,0,0,0,1
48,EMW,1,0,0,0,0,0,0,0
49,Simca,1,0,0,0,0,0,0,0
50,Connaught,1,0,0,0,0,0,0,0
